User ID,First Name,Last Name,Stock Name,Sector,Exchange,Payment Mode,Buy Date,Buy Price (₹),No. of Shares,Brokerage Paid (₹),Current Price (₹),Dividend %,52-Week High,52-Week Low,Status,Return %
2825,Aarav,Nair,SBI,Finance,BSE,Net Banking,12-10-2020,3366.83,178,113.69,4085.86,,4197.44,2597.68,Hold,21.36
4612,Kiran,Tiwari,Bajaj Finance,Finance,NSE,UPI,03-04-2024,3665.02,183,69.17,3614.41,1.47,4381.91,2795.78,Sold,-1.38
9786,Rohan,Reddy,Infosys,IT,NSE,Demat Transfer,25-08-2024,2903.15,97,90.83,3916.02,0.71,4199.6,2370.59,Hold,34.89
3665,Vikram,Pillai,Axis Bank,Finance,NSE,Demat Transfer,08-12-2023,4227.61,170,20.0,5452.48,2.9,5868.54,3620.19,Hold,28.97
1917,Ananya,Verma,Tech Mahindra,IT,NSE,Demat Transfer,01-04-2022,1351.29,59,137.84,1664.93,3.73,1779.65,1168.63,Sold,23.21
8020,Tanvi,Tiwari,Dr Reddy's,Pharma,NSE,Demat Transfer,25-03-2021,4488.5,40,81.33,3713.21,0.71,4691.47,3320.77,Sold,-17.27
1189,Deepak,Patel,Power Grid,Energy,BSE,Demat Transfer,23-04-2024,2956.14,33,51.09,2614.51,0.51,3506.22,2393.65,Watch,-11.56
9318,Raj,Joshi,ICICI Bank,Finance,NSE,Demat Transfer,10-04-2024,894.66,140,138.59,1126.47,2.7,1177.98,745.69,Hold,25.91
2134,Gaurav,Mishra,Adani Ports,Infrastructure,BSE,Net Banking,19-09-2020,3036.93,145,33.12,3639.83,3.23,4519.95,2926.54,Hold,19.85
8398,Rohan,Rao,SBI,Finance,BSE,UPI,23-11-2021,290.45,146,42.22,272.21,0.82,338.42,218.49,Hold,-6.28
3168,Mohit,Tiwari,JSW Steel,Metal,NSE,Cheque,12-05-2021,3573.86,109,36.66,2974.85,2.44,3993.51,2550.68,Hold,-16.76
2791,Ananya,Joshi,Axis Bank,Finance,NSE,Cheque,14-10-2020,2014.09,76,,3007.67,0.84,3626.78,1907.09,Hold,49.33
4873,Neha,Chopra,Nestle India,Consumer,NSE,Cheque,13-03-2021,3918.0,20,33.05,2945.68,2.26,4831.28,2741.19,Hold,-24.82
3537,Priya,Kumar,Axis Bank,Finance,NSE,UPI,01-04-2023,3363.67,20,,2686.19,3.13,3819.97,2541.47,Hold,-20.14
4854,Amit,Patel,Divi's Labs,Pharma,BSE,Net Banking,31-03-2023,2756.43,163,21.48,3607.53,3.04,3942.18,2232.64,Hold,30.88
2189,Aarav,Malhotra,Coal India,Energy,BSE,UPI,30-05-2020,2511.83,134,47.13,3876.43,4.46,4737.9,2097.36,Hold,54.33
9667,Aarav,Mishra,Maruti Suzuki,Auto,NSE,UPI,03-12-2024,777.45,34,134.56,1073.7,1.2,1164.75,620.75,Hold,38.11
1833,Aditya,Chopra,HCL Technologies,IT,BSE,Demat Transfer,31-03-2020,215.25,38,99.2,209.37,3.84,246.87,,Hold,-2.73
7050,Sanjay,Mishra,ICICI Bank,Finance,NSE,Cheque,18-09-2020,379.86,98,135.86,541.95,4.37,664.84,303.25,Hold,42.67
3533,Simran,Rao,Cipla,Pharma,NSE,Net Banking,26-06-2024,3686.32,110,13.47,5072.67,1.99,6260.12,3444.92,Hold,37.61
4645,Priya,Malhotra,Sun Pharma,Pharma,NSE,Demat Transfer,07-08-2024,3619.99,63,41.21,4745.91,2.29,5144.94,2772.79,Hold,31.1
1453,Rohan,Nair,Wipro,IT,BSE,Demat Transfer,19-03-2020,666.13,116,58.4,944.88,,1177.67,517.32,Watch,41.85
4229,Vikram,Chopra,Infosys,IT,NSE,Demat Transfer,30-06-2023,1549.84,36,110.77,1558.01,1.89,1735.51,1305.82,Hold,0.53
3852,Raj,Tiwari,Maruti Suzuki,Auto,NSE,Cheque,27-01-2023,3785.02,82,50.17,4221.83,3.11,4942.0,3243.56,Sold,11.54
2390,Divya,Pandey,Power Grid,Energy,BSE,Demat Transfer,10-07-2020,3719.22,197,42.88,3770.76,4.13,3973.97,2828.95,Sold,1.39
7292,Meera,Reddy,SBI,Finance,BSE,Net Banking,05-09-2023,3156.78,197,130.46,4743.52,4.0,5077.15,2951.42,Watch,50.26
8613,Deepak,Pandey,Tata Steel,Metal,BSE,Demat Transfer,26-03-2024,4033.13,161,124.1,6082.84,2.42,7473.23,3438.49,Hold,50.82
9541,Meera,Rao,Bajaj Finance,Finance,NSE,Cheque,07-06-2020,3268.24,65,48.04,3339.33,2.93,3512.39,2625.02,Hold,2.18
4389,Shruti,Chopra,Dr Reddy's,Pharma,NSE,UPI,20-10-2024,3986.82,152,63.25,3010.1,2.08,4757.47,2848.44,Sold,-24.5
5472,Suresh,Saxena,Reliance Industries,Energy,NSE,Cheque,19-11-2021,3076.16,108,111.39,4504.82,4.64,5611.05,2685.02,Sold,46.44
3978,Vivaan,Nair,Dr Reddy's,Pharma,NSE,Demat Transfer,09-03-2021,2155.21,91,116.57,2310.94,3.88,2799.34,1741.46,Hold,7.23
2125,Gaurav,Verma,Adani Ports,Infrastructure,BSE,UPI,21-05-2021,1057.25,10,96.99,1007.31,2.63,1106.21,975.06,Sold,-4.72
2877,Gaurav,Mehta,Maruti Suzuki,Auto,NSE,UPI,31-03-2023,310.42,84,90.61,472.4,2.19,584.14,246.98,Watch,52.18
2984,Riya,Tiwari,Tech Mahindra,IT,NSE,UPI,12-12-2021,2490.8,174,61.88,2939.31,2.04,3572.44,2339.2,Hold,18.01
3886,Mohit,Pandey,NTPC,Energy,NSE,Demat Transfer,15-06-2023,3675.26,142,118.45,4208.7,4.22,4866.39,3028.89,Hold,14.51
7210,Rahul,Sharma,Nestle India,Consumer,NSE,Demat Transfer,07-01-2021,2296.46,95,121.7,2386.68,4.46,2819.32,1868.27,Hold,3.93
4938,Nitin,Saxena,NTPC,Energy,NSE,Cheque,06-07-2022,3609.61,28,51.19,3947.98,1.59,4629.84,3013.57,Watch,9.37
5439,Divya,Nair,SBI,Finance,BSE,UPI,17-01-2024,1028.11,35,114.0,1602.05,3.61,1704.67,945.74,Hold,55.82
4181,Divya,Rao,Sun Pharma,Pharma,NSE,Net Banking,11-09-2021,260.84,141,27.72,205.72,,283.58,198.96,Sold,-21.13
